常看,#genre#
夏洛特烦恼,https://live.metshop.top/yy/1354936201
夏洛特烦恼,https://www.goodiptv.club/yy/1354936201
周星驰,http://cfss.cc/cdn/hy/11336587.flv
周星驰,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1353881242
周星驰,https://epg.112114.xyz/huya/11342412
周星驰,http://cfss.cc/cdn/hy/11342412.flv
周星驰,http://maomao.kandiantv.cn/douyu1.php?id=122402
周星驰,http://tx-screenshots.flv.huya.com/src/1394575534-1394575534-5989656310331736064-2789274524-10057-A-0-1.flv?
周星驰,http://hls.ye23.vip/wl/huya2205.php?id=11342412
周星驰,http://43.137.29.124/txdirect.flv.huya.com/src/1250011-1250011-5368756364640256-2777036638-10057-A-0-1.m3u8??
周星驰,http://akm-tct.douyucdn.cn/live/122402rK7MO9bXSq.m3u8
知否知否应是绿肥红瘦,https://live.metshop.top/yy/21881901
雪中悍刀行,https://www.goodiptv.club/yy/1382660835
雪中悍刀行,https://live.metshop.top/yy/1354943110
雪中悍刀行,https://www.goodiptv.club/yy/1354943110
雪中悍刀行,https://live.metshop.top/yy/1382660835
庆余年,http://diyp.112114.xyz/douyu/7489563
父母爱情,https://www.goodiptv.club/yy/1354926650
父母爱情,https://www.goodiptv.club/yy/1382746276
哈利波特全集,https://www.goodiptv.club/yy/1382745105
来自星星的你,https://www.goodiptv.club/yy/1354930976
体育频道,#genre#
精品体育,http://58.35.70.169:10055/live/jpty/hls.m3u8
精品体育,http://111.40.196.37:443/PLTV/88888888/224/3221225608/1.m3u8
精品体育,http://39.135.138.60:18890/PLTV/88888910/224/3221225709/index.m3u8
精品体育,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225709/index.m3u8
上海,#genre#
东方卫视,http://101.71.176.182:8888/newlive/live/hls/20/live.m3u8
东方卫视,http://171.117.187.53:9999/tsfile/live/0107_1.m3u8
东方卫视,http://36.96.38.246:8888/newlive/live/hls/20/live.m3u8
东方卫视,http://36.249.151.203:9901/tsfile/live/0107_1.m3u8
东方卫视,http://123.161.132.222:9901/tsfile/live/1089_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://101.74.30.134:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://111.225.114.100:808/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://111.74.155.231:9901/tsfile/live/1029_1.m3u8?key=txiptv&playlive=0&authid=0
东方卫视,http://112.235.200.153:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://101.83.40.55:4022/udp/239.45.3.146:5140
东方卫视,http://182.46.8.161:8018/hls/54/index.m3u8
东方卫视,http://49.71.78.122/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000292403.m3u8
新闻综合,http://zteres.sn.chinamobile.com:6060/000000001000/5000000011000031110/1.m3u8?channel-id=bestzb&Contentid=5000000011000031110&livemode=1&stbId=3
新闻综合,http://180.158.146.27:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
新闻综合,http://180.167.104.105:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
新闻综合,http://180.164.89.43:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
新闻综合,http://61.170.164.195:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
上海都市,https://cntv.lat/tv/live.php?auth=231110&id=shds
上海都市,https://live.goodiptv.club/api/bestv.php?id=dshd8m/8000000
上海都市,https://live.v1.mk/api/bestv.php?id=dshd8m/8000000
上海都市,http://112.25.48.68/live/program/live/ylpdhd/4000000/mnf.m3u8
上海都市,https://test.zapi.us.kg/?id=shds
上海都市,http://43.141.130.51/dongfang5g-mobile-v51-live.bestvcdn.com.cn/SB/live/program/live/dshd8m/8000000/mnf.m3u8
上海都市,http://histar-proxy.isus.cc/shds
上海都市,http://58.42.59.104/hljbuv52.live.bestvcdn.com.cn/liveplay-kk.rtxapp.com/live/program/live/dshd8m/8000000/mnf.m3u8
上海都市,http://php.jdshipin.com:8880/bst.php?id=ylpdhd/4000000
上海都市,http://140.249.247.163/1142f717c2e0326d526ab914ec68dd30.v.smtcdns.net/t-fjnetv51.live.bestvcdn.com.cn/live/program/live/dshd8m/8000000/mnf.m3u8
上海都市,http://php.jdshipin.com:8880/bst.php?id=dshd8m/8000000
上海都市,http://zteres.sn.chinamobile.com:6060/000000001000/2000000002000000012/1.m3u8?channel-id=hnbblive&Contentid=2000000002000000012&livemode=1&stbId=3
